source_page,asset_url,generated_at_utc
https://www.gov.br/mdic/pt-br/assuntos/comercio-exterior/estatisticas/base-de-dados-bruta,https://balanca.economia.gov.br/balanca/bd/comexstat-bd/mun/IMP_2011_MUN.csv,2026-05-14T01:33:44.444273+00:00
https://www.gov.br/mdic/pt-br/assuntos/comercio-exterior/estatisticas/base-de-dados-bruta,https://balanca.economia.gov.br/balanca/bd/comexstat-bd/mun/IMP_2012_MUN.csv,2026-05-14T01:33:44.444273+00:00
https://www.gov.br/mdic/pt-br/assuntos/comercio-exterior/estatisticas/base-de-dados-bruta,https://balanca.economia.gov.br/balanca/bd/comexstat-bd/mun/IMP_2013_MUN.csv,2026-05-14T01:33:44.444273+00:00
https://www.gov.br/mdic/pt-br/assuntos/comercio-exterior/estatisticas/base-de-dados-bruta,https://balanca.economia.gov.br/balanca/bd/comexstat-bd/mun/IMP_2014_MUN.csv,2026-05-14T01:33:44.444273+00:00
https://www.gov.br/mdic/pt-br/assuntos/comercio-exterior/estatisticas/base-de-dados-bruta,https://balanca.economia.gov.br/balanca/bd/comexstat-bd/mun/IMP_2015_MUN.csv,2026-05-14T01:33:44.444273+00:00
https://www.gov.br/mdic/pt-br/assuntos/comercio-exterior/estatisticas/base-de-dados-bruta,https://balanca.economia.gov.br/balanca/bd/comexstat-bd/mun/IMP_2016_MUN.csv,2026-05-14T01:33:44.444273+00:00
https://www.gov.br/mdic/pt-br/assuntos/comercio-exterior/estatisticas/base-de-dados-bruta,https://balanca.economia.gov.br/balanca/bd/comexstat-bd/mun/IMP_2017_MUN.csv,2026-05-14T01:33:44.444273+00:00
https://www.gov.br/mdic/pt-br/assuntos/comercio-exterior/estatisticas/base-de-dados-bruta,https://balanca.economia.gov.br/balanca/bd/comexstat-bd/mun/IMP_2018_MUN.csv,2026-05-14T01:33:44.444273+00:00
https://www.gov.br/mdic/pt-br/assuntos/comercio-exterior/estatisticas/base-de-dados-bruta,https://balanca.economia.gov.br/balanca/bd/comexstat-bd/mun/IMP_2019_MUN.csv,2026-05-14T01:33:44.444273+00:00
https://www.gov.br/mdic/pt-br/assuntos/comercio-exterior/estatisticas/base-de-dados-bruta,https://balanca.economia.gov.br/balanca/bd/comexstat-bd/mun/IMP_2020_MUN.csv,2026-05-14T01:33:44.444273+00:00
https://www.gov.br/mdic/pt-br/assuntos/comercio-exterior/estatisticas/base-de-dados-bruta,https://balanca.economia.gov.br/balanca/bd/comexstat-bd/mun/IMP_2021_MUN.csv,2026-05-14T01:33:44.444273+00:00
https://www.gov.br/mdic/pt-br/assuntos/comercio-exterior/estatisticas/base-de-dados-bruta,https://balanca.economia.gov.br/balanca/bd/comexstat-bd/mun/IMP_2022_MUN.csv,2026-05-14T01:33:44.444273+00:00
https://www.gov.br/mdic/pt-br/assuntos/comercio-exterior/estatisticas/base-de-dados-bruta,https://balanca.economia.gov.br/balanca/bd/comexstat-bd/mun/IMP_2023_MUN.csv,2026-05-14T01:33:44.444273+00:00
https://www.gov.br/mdic/pt-br/assuntos/comercio-exterior/estatisticas/base-de-dados-bruta,https://balanca.economia.gov.br/balanca/bd/comexstat-bd/mun/IMP_2024_MUN.csv,2026-05-14T01:33:44.444273+00:00
https://www.gov.br/mdic/pt-br/assuntos/comercio-exterior/estatisticas/base-de-dados-bruta,https://balanca.economia.gov.br/balanca/bd/comexstat-bd/mun/IMP_2025_MUN.csv,2026-05-14T01:33:44.444273+00:00
https://www.gov.br/mdic/pt-br/assuntos/comercio-exterior/estatisticas/base-de-dados-bruta,https://balanca.economia.gov.br/balanca/bd/comexstat-bd/mun/IMP_2026_MUN.csv,2026-05-14T01:33:44.444273+00:00
https://www.gov.br/mdic/pt-br/assuntos/comercio-exterior/estatisticas/base-de-dados-bruta,https://balanca.economia.gov.br/balanca/bd/comexstat-bd/mun/IMP_COMPLETA_MUN.zip,2026-05-14T01:33:44.444273+00:00
https://www.gov.br/mdic/pt-br/assuntos/comercio-exterior/estatisticas/base-de-dados-bruta,https://balanca.economia.gov.br/balanca/bd/comexstat-bd/mun/IMP_TOTAIS_CONFERENCIA_MUN.csv,2026-05-14T01:33:44.444273+00:00
